,Institution,CNES Code,Number of Equipments,Accept SUS patients?,Equipment Name,CNPJ,Street,Zip Code,Number,Complete Address,Institution Type,Specialization
0,A C CAMARGO CANCER CENTER,2077531,3,Y,MAMOGRAFO COMPUTADORIZADO,60961968000106,RUA PROFESSOR ANTONIO PRUDENTE,01509900,211,RUA PROFESSOR ANTONIO PRUDENTE 211,HOSPITAL ESPECIALIZADO,ONCOLOGIA
1,A MAIS MEDICINA DIAGNOSTICA UNID AUGUSTO TOLLE,9227571,1,N,MAMOGRAFO COMPUTADORIZADO,60840055036837,RUA AUGUSTO TOLLE,02405000,434,RUA AUGUSTO TOLLE 434,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
2,A MAIS MEDICINA DIAGNOSTICA UNIDADE CAMPO BELO,6441106,1,N,MAMOGRAFO COMPUTADORIZADO,60840055010285,RUA BERNARDINO DE CAMPOS,04620000,182,RUA BERNARDINO DE CAMPOS 182,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
3,A MAIS MEDICINA DIAGNOSTICA UNIDADE MOEMA,5167612,1,N,MAMOGRAFO COMPUTADORIZADO,60840055011095,AV INDIANOPOLIS,04062001,922,AV INDIANOPOLIS 922,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
4,AFIP VILA CLEMENTINO,3813517,1,Y,MAMOGRAFO COMPUTADORIZADO,47673793000416,RUA MARSELHESA,04020060,500,RUA MARSELHESA 500,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
5,AME AMBULATORIO MEDICO DE ESPEC DRA MARIA CRISTINA CURY,6432530,1,Y,MAMOGRAFO COMPUTADORIZADO,46374500017402,RUA ARTHUR NASCIMENTO JUNIOR,04815180,120,RUA ARTHUR NASCIMENTO JUNIOR 120,POLICLINICA,
6,BETA SAUDE SANTO AMARO,9096159,1,N,MAMOGRAFO COMPUTADORIZADO,23642793000300,AV ADOLFO PINHEIRO,04733300,1637,AV ADOLFO PINHEIRO 1637,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
7,BFA RADIOLOGIA,7931212,1,N,MAMOGRAFO COMPUTADORIZADO,21550057000215,AV JABAQUARA,04046300,1834,AV JABAQUARA 1834,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS
8,CARDIOLOGICA MEDICINA DIAGNOSTICA SERV MED E ASSISTENCIAIS,3156877,1,N,MAMOGRAFO COMPUTADORIZADO,05753010000111,RUA SALETE,02016010,200,RUA SALETE 200,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
9,CENTRO AVANCADO DE MEDICINA DIAGNOSTICA,7469691,2,N,MAMOGRAFO COMPUTADORIZADO,19208976000182,RUA MARIA PAULA,01319000,62,RUA MARIA PAULA 62,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
